Timestamp,Document Name,OCR Mode,Language,Engine Used,Fallback Used,Confidence,Processing Time (s)
2026-07-07 08:10:31,unnamed_document,auto,Telugu,Custom AI,No,100.00%,1.67
2026-07-07 08:10:32,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.06
2026-07-07 08:10:39,unnamed_document,auto,Telugu,Custom AI,No,74.04%,7.61
2026-07-07 08:15:46,unnamed_document,auto,Telugu,Custom AI,No,100.00%,3.69
2026-07-07 08:15:47,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.09
2026-07-07 08:15:59,unnamed_document,auto,Telugu,Custom AI,No,74.04%,12.19
2026-07-07 08:17:17,WhatsApp Image 2026-07-06 at 1.04.15 PM.jpeg,Auto,Telugu,Custom AI,No,0.00%,91.35
2026-07-07 08:22:46,unnamed_document,auto,Telugu,Custom AI,No,100.00%,3.49
2026-07-07 08:22:46,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.18
2026-07-07 08:22:58,unnamed_document,auto,Telugu,Custom AI,No,74.04%,12.36
2026-07-07 08:26:28,unnamed_document,auto,Telugu,Custom AI,No,100.00%,5.22
2026-07-07 08:26:28,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.21
2026-07-07 08:26:43,unnamed_document,auto,Telugu,Custom AI,No,74.04%,14.18
2026-07-07 09:31:08,unnamed_document,auto,Telugu,Custom AI,No,100.00%,5.00
2026-07-07 09:31:08,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.07
2026-07-07 09:39:35,WhatsApp Image 2026-07-06 at 1.04.15 PM.jpeg,Auto,Telugu,EasyOCR,Yes,78.37%,196.10
2026-07-07 10:02:55,WhatsApp Image 2026-07-06 at 1.04.15 PM.jpeg,Auto,Telugu,EasyOCR,Yes,78.37%,89.38
2026-07-07 10:22:36,unnamed_document,auto,Telugu,Custom AI,No,100.00%,1.60
2026-07-07 10:22:36,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.02
2026-07-07 10:43:46,WhatsApp Image 2026-07-06 at 1.04.15 PM.jpeg,Auto,Telugu,EasyOCR,Yes,78.37%,137.06
2026-07-07 10:46:36,unnamed_document,auto,Telugu,Custom AI,No,100.00%,1.71
2026-07-07 10:46:36,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.04
2026-07-07 10:49:21,unnamed_document,auto,Auto,Custom AI,No,0.00%,19.86
2026-07-07 10:49:25,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.67
2026-07-07 10:49:29,unnamed_document,auto,Auto,Custom AI,No,0.00%,4.61
2026-07-07 10:49:33,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.73
2026-07-07 10:49:37,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.56
2026-07-07 10:49:41,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.81
2026-07-07 10:49:44,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.13
2026-07-07 10:49:49,unnamed_document,auto,Auto,Custom AI,No,80.47%,4.62
2026-07-07 10:49:53,unnamed_document,auto,Auto,Custom AI,No,79.33%,3.89
2026-07-07 10:49:58,unnamed_document,auto,Auto,Custom AI,No,98.77%,5.06
2026-07-07 10:50:07,unnamed_document,auto,Auto,Custom AI,No,80.16%,8.62
2026-07-07 10:50:27,unnamed_document,auto,Auto,Custom AI,No,31.03%,20.67
2026-07-07 10:50:39,unnamed_document,auto,Auto,Custom AI,No,94.24%,11.59
2026-07-07 10:50:51,unnamed_document,auto,Auto,Custom AI,No,74.05%,11.91
2026-07-07 10:51:06,unnamed_document,auto,Auto,Custom AI,No,77.35%,14.82
2026-07-07 10:51:15,unnamed_document,auto,Auto,Custom AI,No,88.62%,9.72
2026-07-07 10:51:25,unnamed_document,auto,Auto,Custom AI,No,81.01%,9.78
2026-07-07 10:51:30,unnamed_document,auto,Auto,Custom AI,No,94.45%,4.86
2026-07-07 10:51:38,unnamed_document,auto,Auto,Custom AI,No,54.11%,8.09
2026-07-07 10:51:44,unnamed_document,auto,Auto,Custom AI,No,74.05%,5.48
2026-07-07 10:51:49,unnamed_document,auto,Auto,Custom AI,No,62.95%,5.78
2026-07-07 10:51:55,unnamed_document,auto,Auto,Custom AI,No,66.02%,5.46
2026-07-07 10:51:57,unnamed_document,auto,Auto,Custom AI,No,97.14%,2.70
2026-07-07 10:52:00,unnamed_document,auto,Auto,Custom AI,No,98.56%,2.62
2026-07-07 10:52:04,unnamed_document,auto,Auto,Custom AI,No,52.68%,3.82
2026-07-07 10:52:07,unnamed_document,auto,Auto,Custom AI,No,85.10%,3.15
2026-07-07 10:52:10,unnamed_document,auto,Auto,Custom AI,No,59.35%,3.23
2026-07-07 10:52:14,unnamed_document,auto,Auto,Custom AI,No,74.05%,3.39
2026-07-07 10:52:17,unnamed_document,auto,Auto,Custom AI,No,74.05%,3.19
2026-07-07 10:52:20,unnamed_document,auto,Auto,Custom AI,No,69.71%,3.39
2026-07-07 10:52:24,unnamed_document,auto,Auto,Custom AI,No,64.63%,3.23
2026-07-07 10:52:26,unnamed_document,auto,Auto,Custom AI,No,95.41%,2.49
2026-07-07 10:52:29,unnamed_document,auto,Auto,Custom AI,No,99.44%,2.62
2026-07-07 10:52:33,unnamed_document,auto,Auto,Custom AI,No,72.38%,3.94
2026-07-07 10:52:36,unnamed_document,auto,Auto,Custom AI,No,86.39%,3.60
2026-07-07 10:52:40,unnamed_document,auto,Auto,Custom AI,No,66.52%,3.30
2026-07-07 10:52:43,unnamed_document,auto,Auto,Custom AI,No,21.90%,3.26
2026-07-07 10:52:46,unnamed_document,auto,Auto,Custom AI,No,65.60%,3.14
2026-07-07 10:52:49,unnamed_document,auto,Auto,Custom AI,No,58.28%,3.23
2026-07-07 10:52:53,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.39
